
2025/05/17 (02:50:36) | ===> btop++ v.1.4.0
2025/05/17 (02:50:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/17 (04:14:42) | ===> btop++ v.1.4.0
2025/05/17 (04:14:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/17 (04:15:44) | ===> btop++ v.1.4.0
2025/05/17 (04:15:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/28 (16:50:33) | ===> btop++ v.1.4.0
2025/05/28 (16:50:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/28 (16:50:37) | ===> btop++ v.1.4.0
2025/05/28 (16:50:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/05/28 (16:51:59) | ===> btop++ v.1.4.0
2025/05/28 (16:51:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
